season,fthg,ftag,odd_h,odd_d,odd_a,target
2012,1,0,1.42,4.8,10.25,11
2012,3,0,1.85,3.95,4.7,13
2012,1,0,4,3.49,2.16,11
2012,2,0,1.74,4.2,5.3,12
2012,1,2,6,4,1.69,9
2012,2,2,15.51,7.2,1.25,10
2012,0,4,2.16,3.65,3.8,6
2012,3,0,1.2,8.19,19,13
2012,0,0,1.7,3.85,6.6,10
2012,2,2,2.02,3.55,4.59,10
2012,1,3,4.2,3.37,2.12,8
2012,2,1,2.08,3.45,4.3,11
2012,0,0,3.1,3.06,3.09,10
2012,4,3,4,3.45,2.16,11
2012,0,1,2.96,3.48,2.86,9
2012,2,1,2.48,3.45,3.2,11
2012,1,1,1.73,4,5.77,10
2012,2,2,1.86,3.65,5.3,10
2012,0,0,2.41,3.46,3.46,10
2012,2,1,3.56,3.9,2.73,11
2012,4,1,1.79,4.18,7.66,13
2012,1,0,1.89,4,5.4,11
2012,0,2,3.25,3.46,2.46,8
2012,1,0,1.79,3.7,6.8,11
2012,0,0,2.15,3.65,3.75,10
2012,0,0,2.27,3.18,4,10
2012,1,2,1.77,4.03,7.14,9
2012,1,2,2.84,3.64,2.9,9
2012,2,0,1.68,3.7,7.4,12
2012,1,0,1.37,5.4,14.16,11
2012,2,2,1.89,3.55,5.2,10
2012,4,0,1.53,4.5,7.6,14
2012,0,0,2.54,3.34,3.25,10
2012,1,2,3.8,3.83,2.08,9
2012,3,1,1.53,4.4,8.5,12
2012,1,1,1.95,3.55,4.8,10
2012,0,1,3.15,3.45,2.54,9
2012,3,0,2.86,3.35,2.84,13
2012,1,0,1.56,4.41,7.2,11
2012,3,0,2.02,3.4,4.8,13
2012,0,1,3.65,3.5,2.25,9
2012,4,0,1.79,3.55,6,14
2012,1,1,2.74,3.75,2.7,10
2012,0,0,1.97,3.76,4.42,10
2012,2,1,1.68,3.8,7,11
2012,8,0,1.1,13,35,18
2012,0,3,2.2,3.4,3.95,7
2012,1,0,2.82,3.4,2.89,11
2012,2,2,1.46,4.59,9.6,10
2012,1,2,1.88,3.75,4.9,9
2012,1,4,1.41,5.43,9.4,7
2012,3,1,1.97,3.95,4.13,12
2012,3,2,2.58,3.17,3.35,11
2012,3,0,2.06,3.3,4.7,13
2012,0,1,2.6,3.65,2.88,9
2012,2,2,3.1,3.08,2.84,10
2012,4,3,4,3.7,2.12,11
2012,3,1,2.96,3.51,2.62,12
2012,2,2,1.59,4.37,7,10
2012,1,1,1.9,3.47,5.3,10
2012,0,2,2,3.35,4.8,8
2012,2,2,4.3,3.35,2.1,10
2012,2,1,2.44,3.3,3.4,11
2012,0,2,4.76,3.95,1.85,8
2012,2,0,2.31,3.29,3.75,12
2012,4,0,2.94,3.43,2.7,14
2012,3,1,2.06,3.61,4.09,12
2012,4,0,2.48,3.25,3.4,14
2012,2,2,5.3,3.85,1.81,10
2012,2,1,2.34,3.2,3.9,11
2012,0,1,1.98,3.65,4.4,9
2012,2,1,4.59,4.04,1.9,11
2012,3,1,2.6,3.3,3.25,12
2012,1,0,2.27,3.52,3.6,11
2012,2,0,2.4,3.3,3.6,12
2012,1,2,1.95,3.4,5,9
2012,2,3,2.04,3.5,4.4,9
2012,1,1,1.74,3.6,6.6,10
2012,0,1,4.2,3.15,2.24,9
2012,4,0,1.46,4.9,8.6,14
2012,1,0,13,6.5,1.3,11
2012,1,0,1.88,3.57,5.3,11
2012,1,0,2.1,3.7,3.9,11
2012,2,0,1.75,3.95,5.8,12
2012,0,0,2.88,3.5,2.69,10
2012,1,1,2.88,3.25,2.84,10
2012,3,1,5.5,3.5,1.89,12
2012,2,2,8.19,5,1.47,10
2012,3,0,1.96,3.42,5,13
2012,1,1,2.06,3.3,4.59,10
2012,1,1,2.64,3.07,3.35,10
2012,3,2,2.25,3.3,3.9,11
2012,4,0,1.42,5.09,9.6,14
2012,1,2,3.55,3.36,2.35,9
2012,1,3,4.19,3.41,2.12,8
2012,1,1,1.72,3.8,6.49,10
2012,0,0,17.72,8.6,1.2,10
2012,1,1,1.32,5.58,14.2,10
2012,2,0,1.44,4.9,10.3,12
2012,1,0,1.68,4.09,6.2,11
2012,1,0,3.2,3.1,2.74,11
2012,2,1,1.44,4.7,10,11
2012,1,2,2.25,3.31,3.92,9
2012,3,0,1.72,3.7,6.73,13
2012,1,1,2.7,3.05,3.2,10
2012,2,6,2.5,3.39,3.25,6
2012,1,0,2.6,3.15,3.25,11
2012,1,2,2.58,3.2,3.35,9
2012,1,0,4.09,3.25,2.24,11
2012,4,3,1.7,4.09,6,11
2012,1,1,1.63,4,7.4,10
2012,1,0,2.46,3.35,3.37,11
2012,1,2,1.56,5,6.23,9
2012,1,1,1.88,3.4,5.5,10
2012,1,0,1.37,5.3,12,11
2012,3,0,1.4,5.4,10.5,13
2012,3,1,2.04,3.4,4.59,12
2012,0,0,2.2,3.42,3.94,10
2012,1,2,4.2,3.82,1.99,9
2012,2,4,2.25,3.35,3.9,8
2012,1,0,1.75,3.55,6.8,11
2012,1,1,6,3.9,1.72,10
2012,0,0,1.96,3.4,5.09,10
2012,3,1,1.96,3.55,4.76,12
2012,1,1,1.7,3.75,6.8,10
2012,0,0,2.9,3.62,2.7,10
2012,1,1,2.29,3.6,3.51,10
2012,1,2,5.2,3.75,1.81,9
2012,1,1,3.36,3.2,2.56,10
2012,3,0,1.32,6,12,13
2012,0,3,2.7,3.35,2.98,7
2012,6,2,1.14,10.19,26.84,14
2012,2,0,1.51,4.8,8.19,12
2012,2,1,1.39,5.09,10.28,11
2012,4,1,1.22,7.2,19.98,13
2012,1,3,4.59,3.35,2.04,8
2012,1,0,2.24,3.6,3.6,11
2012,5,0,1.23,8.22,14,15
2012,1,0,1.88,3.95,4.73,11
2012,4,2,1.49,5.09,7.5,12
2012,1,0,2.25,3.5,3.82,11
2012,1,1,2.14,3.35,4.09,10
2012,1,1,4.3,3.25,2.18,10
2012,0,0,2.6,3.36,3.16,10
2012,0,0,2.14,3.4,4.12,10
2012,1,1,2.38,3.35,3.45,10
2012,2,1,1.96,4,4.2,11
2012,2,0,3.4,3.85,2.22,12
2012,1,1,1.76,3.65,6,10
2012,3,0,1.85,3.6,5.4,13
2012,0,0,1.78,3.9,5.3,10
2012,2,1,2,3.3,5.03,11
2012,4,1,2.08,3.35,4.4,13
2012,0,0,3.55,3.6,2.25,10
2012,2,1,2.7,3.24,3.1,11
2012,3,1,2.18,3.35,4,12
2012,0,1,3.05,3.35,2.64,9
2012,1,1,1.78,3.56,6,10
2012,2,1,2.24,3.46,3.7,11
2012,2,1,2.5,3.4,3.25,11
2012,1,0,2.4,3.53,3.3,11
2012,0,2,3.1,3.5,2.5,8
2012,2,0,1.18,9.19,20.73,12
2012,4,0,1.28,6.49,14.62,14
2012,3,2,1.62,4.22,6.6,11
2012,3,0,1.88,4.11,4.47,13
2012,3,3,1.96,3.7,4.4,10
2012,0,4,8.6,5,1.47,6
2012,1,0,2.94,3.7,2.54,11
2012,1,1,2.72,3.25,3.05,10
2012,1,1,2.29,3.28,3.8,10
2012,0,2,3.15,3.15,2.72,8
2012,1,1,2.44,3.25,3.46,10
2012,2,2,1.98,3.65,4.55,10
2012,1,1,2.02,3.38,4.8,10
2012,3,1,1.82,3.95,4.9,12
2012,1,2,2.58,3.4,3.1,9
2012,3,1,1.71,3.9,6.25,12
2012,1,0,1.32,6,12.88,11
2012,2,0,2.18,3.2,4.4,12
2012,2,2,1.71,4.09,5.77,10
2012,0,0,7.4,4.9,1.5,10
2012,3,0,2.78,3.2,3,13
2012,1,1,2.52,3.15,3.5,10
2012,2,2,2.25,3.45,3.65,10
2012,2,2,2.2,3.2,4.09,10
2012,2,0,1.72,3.78,6.5,12
2012,0,3,2.16,3.36,4.2,7
2012,0,1,21.08,8.4,1.19,9
2012,2,0,2.62,3.27,3.15,12
2012,0,4,9.6,5.5,1.42,6
2012,1,5,10,4.82,1.42,6
2012,1,2,2.72,3.4,3,9
2012,2,1,2.14,3.56,3.95,11
2012,0,0,1.83,4,4.86,10
2012,0,2,2.9,3.2,2.86,8
2012,1,2,3,3.76,2.48,9
2012,3,2,2.68,3.65,2.78,11
2012,3,3,2.2,3.25,4.09,10
2012,0,1,1.87,3.75,4.91,9
2012,2,0,2.76,3.27,2.98,12
2012,6,0,2.06,3.6,4.04,16
2012,2,0,1.72,3.8,6.15,12
2012,1,2,2.24,3.35,3.9,9
2012,2,0,1.46,4.59,9.6,12
2012,1,1,1.4,5.2,10.17,10
2012,2,0,2.02,3.45,4.5,12
2012,0,0,2.94,3.06,3,10
2012,2,0,2.25,3.5,3.6,12
2012,3,1,2.8,3.2,2.96,12
2012,0,2,3.65,3.75,2.16,8
2012,1,3,2.58,3.35,3.15,8
2012,1,2,1.5,4.4,9,9
2012,3,0,1.06,18,45.69,13
2012,5,3,1.61,3.95,8,12
2012,2,2,2.74,3.55,2.82,10
2012,2,0,2.36,3.6,3.4,12
2012,3,1,1.37,5.3,11.5,12
2012,4,1,1.19,9,19,13
2012,1,1,2.25,3.16,4,10
2012,1,2,1.6,4.22,7,9
2012,3,1,1.43,4.8,9.61,12
2012,1,1,2.8,3.2,3,10
2012,2,1,2.4,3.56,3.36,11
2012,0,0,2.42,3.55,3.2,10
2012,1,3,3.2,3.1,2.86,8
2012,3,0,2.86,3.25,2.86,13
2012,1,1,3.75,3.51,2.22,10
2012,4,0,1.23,7.6,17,14
2012,2,1,3.25,3.21,2.68,11
2012,0,0,3.04,3.18,2.8,10
2012,1,1,2.16,3.5,3.95,10
2012,2,0,2.5,3.3,3.34,12
2012,0,1,1.68,4.09,6,9
2012,3,0,1.47,4.8,8.6,13
2012,0,0,4.2,3.65,2,10
2012,1,2,2.96,3.1,2.94,9
2012,3,1,2.14,3.4,4.2,12
2012,4,1,1.35,5.5,12,13
2012,2,1,2.56,3.35,3.15,11
2012,0,0,1.95,3.46,5.5,10
2012,2,0,2.12,3.5,4.01,12
2012,2,2,3.13,3.56,2.5,10
2012,0,0,1.58,4.2,7.54,10
2012,3,0,3,3.3,2.71,13
2012,1,2,2.34,3.75,3.2,9
2012,0,0,4.91,3.2,2.02,10
2012,2,1,1.44,5,9,11
2012,2,0,2.8,3.65,2.69,12
2012,2,1,1.45,4.7,9.8,11
2012,0,2,1.94,3.69,4.8,8
2012,2,0,2.14,3.35,4.09,12
2012,0,1,2.18,3.45,3.85,9
2012,1,3,7.49,4,1.62,8
2012,0,0,3.05,3.2,2.74,10
2012,0,0,3.5,3.2,2.48,10
2012,2,0,2.14,3.25,4.4,12
2012,3,0,2,3.5,4.76,13
2012,3,1,1.72,3.95,6,12
2012,1,1,4.4,4,1.91,10
2012,1,1,2.02,3.35,4.7,10
2012,1,1,1.83,3.45,5.7,10
2012,2,2,2.58,3.7,2.88,10
2012,1,0,2.12,3.75,3.8,11
2012,0,0,1.14,9.74,26,10
2012,1,0,1.6,4.2,7,11
2012,0,4,7.5,5,1.5,6
2012,0,2,2.38,3.49,3.35,8
2012,2,0,1.91,3.6,4.94,12
2012,0,0,2.16,3.7,3.7,10
2012,1,2,2.25,3.34,3.9,9
2012,5,0,1.33,6.2,11.01,15
2012,2,0,1.29,5.8,15.15,12
2012,1,0,2.24,3.1,4.3,11
2012,2,2,1.84,3.55,5.8,10
2012,1,1,2.24,3.7,3.72,10
2012,0,0,2.14,3.14,4.59,10
2012,2,2,1.56,4.2,8.47,10
2012,1,0,2.15,3.5,3.95,11
2012,1,1,1.31,6,13.09,10
2012,0,1,2.72,3.3,3,9
2012,1,3,2.9,3.13,3.07,8
2012,1,0,2.44,3.19,3.6,11
2012,2,2,2.08,3.46,4.18,10
2012,2,0,1.93,3.4,5.2,12
2012,1,3,2.25,3.43,3.7,8
2012,0,1,2.14,3.61,3.78,9
2012,1,0,1.62,3.85,7.8,11
2012,3,0,1.47,4.5,9.6,13
2012,1,1,1.47,4.9,8.4,10
2012,3,1,1.68,3.95,6.5,12
2012,1,0,12,5.4,1.35,11
2012,0,0,2.72,3.25,3.15,10
2012,0,2,4.2,3.4,2.1,8
2012,3,0,2.15,3.45,4.09,13
2012,0,1,2.86,3.05,3,9
2012,0,2,1.9,3.65,4.9,8
2012,0,0,2.35,3.36,3.6,10
2012,1,0,1.68,4,6.3,11
2012,1,6,2.29,3.35,3.72,5
2012,0,3,1.97,3.6,4.55,7
2012,3,4,7.4,4,1.63,9
2012,1,2,2.34,3.2,3.82,9
2012,2,0,1.29,5.8,16.53,12
2012,1,1,1.83,3.8,5.2,10
2012,2,1,9.64,5.01,1.43,11
2012,3,1,2.04,3.35,4.59,12
2012,1,2,4.7,3.85,1.89,9
2012,2,2,1.5,4.5,8.4,10
2012,2,1,1.69,3.65,7.2,11
2012,0,1,27.63,9,1.17,9
2012,4,1,1.37,5.17,12.65,13
2012,1,1,2.52,3.2,3.4,10
2012,2,0,1.9,3.36,5.6,12
2012,0,1,3.95,3.6,2.15,9
2012,2,2,2.1,3.5,4.09,10
2012,1,1,3.3,3.3,2.54,10
2012,0,1,2.06,3.2,4.8,9
2012,2,0,2.96,3.45,2.66,12
2012,1,1,1.78,3.65,5.9,10
2012,2,1,2.54,3.25,3.35,11
2012,1,2,2.2,3.45,3.8,9
2012,3,0,1.13,10,25.17,13
2012,3,2,1.85,3.75,5,11
2012,1,1,2.88,3.25,2.86,10
2012,1,0,2.08,3.45,4.2,11
2012,3,0,2.54,3.55,3,13
2012,2,0,1.64,4.08,6.8,12
2012,0,1,3.6,3.65,2.25,9
2012,2,3,3.15,3.29,2.6,9
2012,0,1,13.74,6.55,1.29,9
2012,4,2,1.43,4.8,10,12
2012,3,5,1.7,4.05,6,8
2012,3,1,1.58,4.13,7.6,12
2012,2,0,1.8,3.55,6,12
2012,3,1,2.09,3.5,4.09,12
2012,0,2,3.25,3.42,2.5,8
2012,5,0,1.1,12.95,34,15
2012,2,3,5.7,3.6,1.87,9
2012,2,3,2.31,3.55,3.4,9
2012,4,0,1.17,9.19,23,14
2012,2,1,2,3.75,4.28,11
2012,0,1,4.34,3.59,2.06,9
2012,0,2,3.93,3.5,2.16,8
2012,2,2,2.02,3.53,4.4,10
2012,3,1,2.1,3.6,4,12
2012,2,0,2.14,3.4,4.09,12
2012,2,0,1.65,3.8,7,12
2012,3,3,2,3.65,4.2,10
2012,2,1,3.1,3.16,2.75,11
2012,1,1,3.86,3.6,2.14,10
2012,0,2,4.13,3.45,2.15,8
2012,1,3,2.88,3.6,2.64,8
2012,3,1,2.46,3.19,3.55,12
2012,1,2,2.76,3.25,3.05,9
2012,3,1,2.84,3.05,3.05,12
2012,3,1,1.18,9.19,22.78,12
2012,0,3,3.1,3.18,2.72,7
2012,3,1,1.42,5.3,9.21,12
2012,2,0,2.29,3.4,3.65,12
2012,0,0,4.09,3.22,2.22,10
2012,1,1,2.18,3.35,4.11,10
2012,2,1,1.77,3.9,5.5,11
2012,1,1,3.1,3.35,2.6,10
2012,3,0,2.02,3.65,4.2,13
2012,1,0,2.48,3.4,3.23,11
2012,1,1,1.99,3.65,4.4,10
2012,1,0,2,3.42,4.74,11
2012,1,0,2.88,3.05,3,11
2012,1,1,2.2,3.16,4.21,10
2012,4,1,2.21,3.1,4.4,13
2012,3,1,1.39,5.3,10,12
2012,1,0,1.76,3.8,5.9,11
2012,2,0,2.02,3.35,4.9,12
2012,3,1,2.82,3.2,2.96,12
2012,1,3,2.04,3.38,4.59,8
2012,1,2,1.41,5.09,10,9
2012,3,1,2.6,3.7,2.86,12
2012,5,1,1.33,5.83,12.39,14
2012,1,0,1.29,6.2,14,11
2012,1,1,1.8,3.8,5.3,10
2012,3,2,1.91,3.75,4.59,11
2012,0,0,1.31,5.8,14,10
2012,2,3,8.85,4.82,1.49,9
2012,3,2,1.43,5.4,8.4,11
2012,1,2,1.75,4.12,5.23,9
2012,1,2,2.44,3.47,3.31,9
2012,0,1,7,4.5,1.57,9
2012,0,2,3.9,3.6,2.14,8
2012,2,2,1.72,4.09,5.5,10
2012,1,1,1.37,4.9,13.21,10
2012,3,0,1.39,5.4,11.75,13
2012,0,0,2.58,3.4,3.1,10
2012,0,0,3.1,3.4,2.59,10
2012,2,1,2.56,3.3,3.35,11
2012,0,2,3.2,3.56,2.42,8
2012,3,1,1.75,3.76,6.05,12
2012,1,1,2.58,3.24,3.35,10
2012,2,2,2.68,3.45,2.96,10
2012,7,1,1.09,14.3,34,16
2012,2,1,2.4,3.05,4.05,11
2012,0,0,2.12,3.41,4.5,10
2012,2,2,2.27,3.4,3.75,10
2012,2,0,2.38,3.2,3.7,12
2012,0,1,2.04,3.4,4.59,9
2012,2,0,1.5,4.3,9.5,12
2012,1,0,2.24,3.2,4.09,11
2012,3,1,2.04,3.61,4.86,12
2012,2,2,11.5,5.9,1.36,10
2012,2,1,1.76,3.7,6.58,11
2012,1,2,22.08,8.8,1.2,9
2012,1,1,1.86,3.45,5.5,10
2012,3,0,1.98,3.35,5,13
2012,3,2,3.4,3.65,2.27,11
2012,4,0,1.48,4.5,9.86,14
2012,2,1,4.16,3.39,2.25,11
2012,1,3,3.52,3.52,2.38,8
2012,0,0,2.06,3.5,4.5,10
2012,2,0,1.51,4.3,9.42,12
2012,1,0,1.65,3.82,7.75,11
2012,4,0,2.18,3.45,3.95,14
2012,5,0,2.69,3.43,3,15
2012,1,1,3.1,3.11,2.76,10
2012,1,0,3.5,3.15,2.56,11
2012,0,0,3.22,3.1,2.7,10
2012,0,2,3.05,3.55,2.52,8
2012,1,2,1.95,3.42,5.53,9
2012,0,0,2.12,3.4,5.11,10
2012,0,0,4.24,3.5,2.14,10
2012,3,1,1.34,5.8,13,12
2012,2,3,1.9,3.65,4.9,9
2012,4,0,1.09,15,51,14
2012,2,2,2.72,3.63,3,10
2012,1,0,3.35,3.2,2.82,11
2012,1,2,5.6,3.95,1.78,9
2012,0,2,2.42,3.11,3.55,8
2012,2,1,1.65,3.99,6.8,11
2012,0,0,2.5,3.35,3.4,10
2012,2,3,6,4.3,1.85,9
2012,2,1,2.86,3.1,3.54,11
2012,2,1,2.08,3.58,4.19,11
2012,1,0,2.21,3.5,4.09,11
2012,5,0,2.46,3.6,3.15,15
2012,0,1,7.8,4.4,1.62,9
2012,4,1,2.63,3.6,3.1,13
2012,3,3,2.63,3.48,3,10
2012,2,1,1.64,4.09,7.8,11
2012,4,0,1.82,3.84,5.14,14
2012,2,0,3.54,3.2,2.52,12
2012,2,2,3.4,3.23,2.54,10
2012,0,1,1.65,4.3,6,9
2012,2,0,2,3.3,5,12
2012,2,0,2.44,3.65,3.1,12
2012,0,1,1.32,5.3,15.23,9
2012,0,1,2.17,3.25,4.4,9
2012,2,1,2.44,3.4,3.3,11
2012,2,2,2.24,3.2,4.09,10
2012,1,2,2.16,3.2,4.41,9
2012,1,0,1.63,3.95,7,11
2012,2,1,1.41,5,10,11
2012,2,1,1.48,4.9,8.06,11
2012,0,0,2.24,3.4,3.7,10
2012,3,0,1.42,4.97,10.18,13
2012,2,0,2.92,3.2,2.86,12
2012,1,2,1.9,3.8,4.7,9
2012,2,1,2.22,3.1,4.38,11
2012,3,2,1.61,4.2,6.6,11
2012,0,0,2.34,3.45,3.5,10
2012,1,2,1.99,3.6,4.5,9
2012,2,0,1.48,4.8,8.19,12
2012,1,3,3.62,3.4,2.4,8
2012,2,0,2.46,3.45,3.26,12
2012,0,3,3.85,3.6,2.17,7
2012,3,0,1.22,7.4,20.01,13
2012,1,0,2.06,3.65,4.07,11
2012,1,3,3.55,3.19,2.46,8
2012,1,1,3.15,3.2,2.7,10
2012,2,1,2.18,3.58,3.75,11
2012,2,0,2.93,3.65,2.56,12
2012,1,1,1.37,5.2,11.93,10
2012,3,1,1.91,3.97,4.59,12
2012,1,2,1.75,3.98,6.2,9
2012,2,0,1.73,4.05,5.5,12
2012,3,3,2.96,3.6,2.56,10
2012,4,1,1.22,8,17,13
2012,0,1,3.1,3.3,2.65,9
2012,2,0,1.51,4.17,9.6,12
2012,1,1,1.57,4.4,7,10
2012,1,1,1.79,3.99,5.3,10
2012,1,3,4.04,3.7,2.2,8
2012,0,1,2.92,3.25,2.84,9
2012,0,2,3.54,3.46,2.4,8
2012,1,2,2.14,3.24,4.5,9
2012,2,0,1.75,3.65,6.6,12
2012,2,0,2.44,3.1,3.7,12
2012,3,1,1.55,4.09,9.19,12
2012,2,1,2.9,3.21,2.94,11
2012,3,2,1.67,3.81,7.2,11
2012,1,1,2.4,3.65,3.2,10
2012,1,2,3.45,3.6,2.27,9
2012,1,0,17.7,7.28,1.24,11
2012,0,3,3.4,3.16,2.54,7
2012,0,1,3.05,3.2,2.78,9
2012,2,3,1.78,3.8,5.6,9
2012,4,0,2.21,3.35,4.09,14
2012,0,0,2.31,3.43,3.55,10
2012,0,1,1.39,5.28,10.76,9
2012,2,0,2.81,3.2,2.96,12
2012,1,1,1.84,3.55,5.65,10
2012,1,0,1.74,3.6,7.25,11
2012,0,1,3.2,3.48,2.46,9
2012,4,0,1.35,5.4,12.01,14
2012,3,0,2.31,3.46,3.6,13
2012,1,1,2.76,3.45,2.82,10
2012,2,0,2.62,3.4,3.12,12
2012,1,2,1.96,3.51,4.7,9
2012,3,2,8.6,5,1.48,11
2012,2,1,1.83,3.75,5.2,11
2012,2,0,2.29,3.67,3.4,12
2012,2,1,1.78,3.79,5.7,11
2012,3,3,2.6,3.25,3.2,10
2012,4,0,1.07,19,51,14
2012,0,2,5.2,3.66,1.87,8
2012,1,2,4.2,3.35,2.15,9
2012,2,0,1.81,3.92,5.3,12
2012,3,0,1.33,5.6,13,13
2012,0,0,2.29,3.43,3.8,10
2012,0,3,4.3,3.71,2,7
2012,2,1,1.6,4.23,7,11
2012,1,1,2.42,3.56,3.25,10
2012,0,1,2.02,3.5,4.59,9
2012,2,3,7.4,3.86,1.65,9
2012,1,0,2.9,3.25,2.82,11
2012,4,0,2,3.5,4.9,14
2012,0,3,13.58,6.25,1.31,7
2012,0,4,7,4.4,1.57,6
2012,2,2,2.56,3.14,3.45,10
2012,5,0,1.09,15,41,15
2012,4,2,2.12,3.6,4,12
2012,2,1,3.1,3,2.88,11
2012,1,1,2.25,3.8,3.42,10
2012,2,2,2.7,3.6,2.85,10
2012,5,1,1.2,8.19,20,14
2012,4,1,1.3,6.5,12.11,13
2012,4,2,1.41,5,10.43,12
2012,0,1,6.2,4.09,1.67,9
2012,1,1,2.34,3.45,3.45,10
