id,country_id,league_id,season,stage,date,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,VCH,VCD,VCA
19765,19694,19694,2008/2009,2,16-Aug-08,489992,9800,8597,0,0,2.4,3.3,2.88,2.3,3.25,2.7,2.3,3,2.7,2.38,3.2,2.6,2.25,3.2,2.75,2.35,3.2,2.65
7815,7809,7809,2008/2009,1,16-Aug-08,499323,8398,8226,0,3,2.4,3.3,2.9,2.55,3.2,2.55,2.3,3.3,2.6,2.2,3.25,2.75,2.4,3.1,2.6,2.4,3.2,2.6
7817,7809,7809,2008/2009,1,16-Aug-08,499325,8295,9911,1,0,2.2,3.3,3.25,2.1,3.25,3.2,2.2,3.1,3,2.1,3.2,3,2.1,3.2,3,2.1,3.2,3.1
4886,4769,4769,2008/2009,2,16-Aug-08,483146,9847,9827,1,0,2.38,2.9,3.3,2.3,3,3,2.4,2.9,2.9,2.38,2.88,2.8,2.4,2.9,2.75,2.4,3,2.75
4885,4769,4769,2008/2009,2,16-Aug-08,483145,9831,8481,2,1,2.4,2.9,3.3,2.25,2.9,3.2,2.3,2.8,3.1,2.2,2.8,3.2,2.25,2.88,3,2.25,3,3
4884,4769,4769,2008/2009,2,16-Aug-08,483144,9830,9829,1,1,2.25,3,3.3,2.5,2.95,2.75,2.5,2.9,2.8,2.38,2.88,2.8,2.4,2.8,2.88,2.4,3,2.75
7,1,1,2008/2009,1,16-Aug-08,492479,9999,8571,2,2,2.1,3.2,3.3,2.05,3.25,3.15,1.85,3.2,3.5,1.83,3.3,3.6,1.83,3.3,3.6,2.1,3.25,3
19762,19694,19694,2008/2009,2,16-Aug-08,489989,9927,8485,0,1,2.1,3.3,3.5,2.1,3.25,3.05,2.1,3.1,3,2.2,3.25,2.75,2.1,3.2,3,2.2,3.25,2.9
4888,4769,4769,2008/2009,2,16-Aug-08,483148,9941,9746,2,1,2.15,3.1,3.6,2.1,3,3.45,2.1,2.9,3.4,2,2.88,3.6,2.1,2.88,3.3,2.1,3,3.4
2,1,1,2008/2009,1,16-Aug-08,492474,10000,9994,0,0,1.95,3.2,3.6,1.8,3.3,3.95,1.9,3.2,3.5,1.9,3.2,3.5,1.83,3.3,3.6,2,3.25,3.25
7810,7809,7809,2008/2009,1,16-Aug-08,499318,8178,9789,2,3,2.05,3.3,3.6,2.05,3.25,3.3,2,3.3,3.2,1.91,3.25,3.4,1.95,3.1,3.5,2,3.25,3.25
19763,19694,19694,2008/2009,2,16-Aug-08,489990,10251,8596,3,2,2.1,3.3,3.6,1.95,3.25,3.45,1.8,3.2,3.7,2,3.2,3.2,1.83,3.2,3.75,1.9,3.25,3.6
4879,4769,4769,2008/2009,2,16-Aug-08,483139,7819,9873,3,1,2.1,3,4,2.1,3,3.5,2,2.9,3.7,2,3,3.5,2,3,3.4,2,3,3.5
1734,1729,1729,2008/2009,1,16-Aug-08,489047,8668,8655,2,3,2,3.3,4,1.85,3.25,4,2,3.2,3.3,1.8,3.2,4,1.95,3.1,3.5,2.05,3.3,4
1732,1729,1729,2008/2009,1,16-Aug-08,489045,8654,8528,2,1,1.91,3.4,4.2,1.9,3.2,3.8,1.8,3.3,3.8,1.8,3.2,4,1.83,3.2,3.75,1.9,3.5,4.35
4887,4769,4769,2008/2009,2,16-Aug-08,483147,9853,9874,2,1,1.85,3.25,4.5,1.8,3.15,4.4,1.8,3.1,4.2,1.8,3,4.33,1.73,3.1,4.5,1.75,3.1,4.35
19764,19694,19694,2008/2009,2,16-Aug-08,489991,8066,8429,0,1,1.8,3.5,4.5,1.8,3.4,3.85,1.75,3.2,4,1.73,3.4,4,1.73,3.4,4,1.75,3.4,4
1736,1729,1729,2008/2009,1,16-Aug-08,489049,8559,10194,3,1,1.83,3.5,4.5,1.75,3.3,4.4,1.75,3.3,4.2,1.73,3.4,4,1.8,3.1,4,1.85,3.4,4.8
4881,4769,4769,2008/2009,2,16-Aug-08,483141,8639,8682,1,3,1.8,3.3,4.75,1.9,3,4.2,1.85,3,4.2,1.83,3,4,1.8,3,4.2,1.8,3.1,4.35
7812,7809,7809,2008/2009,1,16-Aug-08,499320,8721,8722,2,1,1.62,3.6,6,1.55,3.75,5.4,1.6,3.6,4.8,1.57,3.5,5,1.57,3.5,5,1.6,3.4,5
7811,7809,7809,2008/2009,1,16-Aug-08,499319,10189,9904,3,0,1.57,3.8,6,1.6,3.65,5,1.6,3.6,4.8,1.57,3.5,5,1.6,3.4,4.8,1.5,3.6,6
19760,19694,19694,2008/2009,2,16-Aug-08,489987,8548,9860,2,0,1.44,4.2,7.5,1.4,4.25,6.25,1.35,4,7,1.4,3.75,7,1.36,4,7,1.4,4,7
1730,1729,1729,2008/2009,1,16-Aug-08,489043,9825,8659,1,0,1.2,6.5,15,1.22,5.5,10,1.2,5.2,11,1.2,5,11,1.17,5.5,12,1.25,6,13
19761,19694,19694,2008/2009,2,17-Aug-08,489988,9938,9925,1,1,5.75,4,1.57,5.6,3.75,1.5,5.4,3.8,1.45,5,3.5,1.57,5.5,3.5,1.53,5.5,3.75,1.5
4882,4769,4769,2008/2009,2,17-Aug-08,483142,8689,9748,0,0,4.75,3.4,1.8,4.4,3.35,1.75,4.4,3,1.8,4.33,3,1.8,4.5,3.1,1.73,4.5,3.1,1.75
7816,7809,7809,2008/2009,1,17-Aug-08,499324,9788,10269,1,3,2.75,3.3,2.5,2.55,3.2,2.55,2.5,3.2,2.5,2.75,3.25,2.2,2.6,3.1,2.4,2.65,3.3,2.35
4880,4769,4769,2008/2009,2,17-Aug-08,483140,9855,9851,1,0,2.88,2.9,2.7,2.85,2.9,2.45,2.6,3,2.6,2.62,2.88,2.5,2.62,2.9,2.5,2.75,3,2.4
7813,7809,7809,2008/2009,1,17-Aug-08,499321,9810,8177,0,2,2.35,3.3,3,2.35,3.15,2.8,2.2,3.3,2.8,2.2,3.25,2.75,2.2,3.2,2.8,2.2,3.25,2.9
1733,1729,1729,2008/2009,1,17-Aug-08,489046,10252,8456,4,2,1.91,3.4,4.33,1.95,3.2,3.6,2,3.2,3.3,1.83,3.2,3.75,1.91,3.2,3.5,1.9,3.5,4.35
1,1,1,2008/2009,1,17-Aug-08,492473,9987,9993,1,1,1.73,3.4,5,1.75,3.35,4.2,1.85,3.2,3.5,1.8,3.3,3.75,1.7,3.3,4.33,1.65,3.4,4.5
4883,4769,4769,2008/2009,2,17-Aug-08,483143,8592,8583,4,0,1.57,3.6,6.5,1.55,3.35,6.25,1.6,3.4,5.2,1.53,3.25,6,1.5,3.4,6,1.55,3.3,6
4,1,1,2008/2009,1,17-Aug-08,492476,9991,9998,5,0,1.44,3.75,7.5,1.4,4,6.8,1.4,3.9,6,1.44,3.6,6.5,1.44,3.75,6,1.45,3.75,6.5
1738,1729,1729,2008/2009,1,17-Aug-08,489051,8455,8462,4,0,1.33,5,10,1.3,4.75,8.25,1.3,4.4,8.5,1.29,4.33,9,1.3,4.2,8.5,1.33,5,11
1729,1729,1729,2008/2009,1,17-Aug-08,489042,10260,10261,1,1,1.29,5.5,11,1.3,4.75,8.25,1.3,4.4,8.5,1.25,4.5,10,1.25,4.5,10,1.28,5.5,12
17644,17642,17642,2008/2009,1,22-Aug-08,509131,7844,10238,1,1,2.1,3.25,3.6,1.85,3.3,3.75,2,3.1,3.2,1.91,3.2,3.5,1.91,3.1,3.6,1.9,3.1,3.75
7915,7809,7809,2008/2009,2,22-Aug-08,499333,9904,8398,0,0,1.62,3.6,6,1.6,3.6,5.1,1.65,3.5,4.5,1.62,3.5,4.5,1.57,3.5,5,1.6,3.5,5
1844,1729,1729,2008/2009,2,23-Aug-08,489057,9879,9825,1,0,6.5,3.75,1.57,6,3.45,1.55,5,3.5,1.6,6,3.6,1.62,6,3.8,1.57,6.5,3.9,1.55
19830,19694,19694,2008/2009,3,23-Aug-08,489997,8485,8548,1,1,5,3.5,1.73,4.5,3.5,1.65,4,3.2,1.75,4.5,3.3,1.67,4.5,3.3,1.67,5.5,3.5,1.73
1847,1729,1729,2008/2009,2,23-Aug-08,489060,10194,10252,3,2,5,3.6,1.73,4.65,3.4,1.7,4.3,3.4,1.7,5,3.25,1.8,5,3.6,1.7,5.3,3.7,1.7
4991,4769,4769,2008/2009,3,23-Aug-08,483151,9746,8592,0,1,3.75,3,2.15,4.15,3.1,1.85,3.3,3,2.1,3.6,2.88,2,3.4,3,2,3.4,3,2.1
7909,7809,7809,2008/2009,2,23-Aug-08,499327,9789,9823,1,1,3.4,3.25,2.15,3.2,3.25,2.1,2.9,3.2,2.2,3.4,3.25,1.91,3.3,3.25,1.95,3.6,3.3,1.9
17645,17642,17642,2008/2009,1,23-Aug-08,509132,6403,10264,0,2,3.2,3.1,2.2,3.55,3.25,1.95,2.7,3,2.3,2.88,3,2.25,3.1,3,2.15,3.1,3,2.2
107,1,1,2008/2009,2,23-Aug-08,492489,8571,9984,2,1,3,3.25,2.2,2.8,3.2,2.25,2.5,3.2,2.3,2.75,3.2,2.25,2.5,3.3,2.38,2.8,3.2,2.25
1845,1729,1729,2008/2009,2,23-Aug-08,489058,8659,8668,1,2,2.88,3.25,2.5,2.65,3.15,2.45,2.8,3.1,2.3,2.8,3.3,2.5,2.62,3.3,2.62,2.9,3.3,2.5
4997,4769,4769,2008/2009,3,23-Aug-08,483157,9874,9847,1,1,2.7,2.9,2.8,2.85,2.95,2.45,2.8,2.9,2.5,2.5,2.88,2.62,2.6,2.8,2.6,2.5,3,2.65
19831,19694,19694,2008/2009,3,23-Aug-08,489998,8066,10251,1,1,2.4,3.3,2.88,2.45,3.25,2.55,2.4,3.1,2.5,2.4,3.25,2.5,2.38,3.1,2.62,2.35,3.25,2.6
19827,19694,19694,2008/2009,3,23-Aug-08,489994,9927,9938,1,1,2.4,3.3,2.88,2.25,3.25,2.8,2.2,3.1,2.8,2.38,3.2,2.6,2.3,3.2,2.62,2.3,3.25,2.7
4992,4769,4769,2008/2009,3,23-Aug-08,483152,8682,9853,1,0,2.45,3,3.1,2.4,2.95,2.9,2.4,2.9,2.9,2.38,2.88,2.8,2.3,2.9,2.9,2.3,3,2.9
106,1,1,2008/2009,2,23-Aug-08,492488,9996,8203,3,1,2.05,3.3,3.4,2.05,3.2,3.2,2.1,3.1,3,1.91,3.4,3.25,2,3.3,3.1,2,3.25,3.25
19829,19694,19694,2008/2009,3,23-Aug-08,489996,8597,8429,1,0,2.1,3.3,3.5,1.9,3.3,3.6,1.8,3.2,3.7,1.83,3.4,3.5,1.91,3.2,3.5,2,3.25,3.25
4998,4769,4769,2008/2009,3,23-Aug-08,483158,9873,8689,3,1,2.25,2.9,3.6,2.2,2.9,3.3,2,2.9,3.7,2.1,2.88,3.3,2.1,2.88,3.3,2.2,3,3.1
7916,7809,7809,2008/2009,2,23-Aug-08,499334,8226,9788,1,0,2.05,3.3,3.6,1.85,3.3,3.9,1.9,3.2,3.6,1.91,3.25,3.4,1.91,3.2,3.5,2,3.25,3.25
7911,7809,7809,2008/2009,2,23-Aug-08,499329,8697,10189,1,1,2,3.3,3.8,2,3.25,3.4,2,3.2,3.3,1.91,3.25,3.4,1.83,3.2,3.75,1.85,3.3,3.75
7910,7809,7809,2008/2009,2,23-Aug-08,499328,10269,8178,0,2,1.91,3.4,4,1.95,3.3,3.55,1.9,3.3,3.5,1.8,3.3,3.75,1.91,3.2,3.5,1.9,3.25,3.6
1841,1729,1729,2008/2009,2,23-Aug-08,489054,10261,8559,1,0,1.8,3.5,4.75,1.7,3.35,4.7,1.75,3.3,4.2,1.8,3.5,4.5,1.83,3.4,4.5,1.8,3.5,4.8
105,1,1,2008/2009,2,23-Aug-08,492487,9994,4049,4,1,1.65,3.6,4.75,1.7,3.45,4.3,1.65,3.3,4.4,1.53,3.5,5.5,1.67,3.4,4.33,1.65,3.4,4.5
4995,4769,4769,2008/2009,3,23-Aug-08,483155,8481,9941,0,0,1.85,3.1,5,1.9,3.05,4,1.8,3.1,4.2,1.8,3,4.33,1.8,3,4.2,1.75,3.2,4.5
101,1,1,2008/2009,2,23-Aug-08,492483,8635,9991,2,2,1.65,3.4,5,1.65,3.55,4.5,1.5,3.7,5,1.53,3.5,5.5,1.6,3.4,4.8,1.55,3.6,5
19828,19694,19694,2008/2009,3,23-Aug-08,489995,9860,9800,2,1,1.73,3.5,5,1.6,3.6,4.8,1.55,3.5,4.8,1.57,3.5,5,1.62,3.5,4.5,1.6,3.4,5
4994,4769,4769,2008/2009,3,23-Aug-08,483154,9829,7819,1,1,1.75,3.25,5.25,1.7,3.2,5,1.75,3.1,4.5,1.67,3.1,5,1.73,3.1,4.5,1.75,3.2,4.5
7912,7809,7809,2008/2009,2,23-Aug-08,499330,8177,9912,1,1,1.67,3.6,5.5,1.6,3.6,5.1,1.65,3.5,4.5,1.57,3.5,5,1.53,3.5,5.5,1.55,3.4,5.5
108,1,1,2008/2009,2,23-Aug-08,492490,9993,7947,1,1,1.53,3.75,5.5,1.6,3.45,5.2,1.55,3.5,4.8,1.44,3.75,6,1.62,3.5,4.5,1.55,3.5,5
104,1,1,2008/2009,2,23-Aug-08,492486,9986,9999,1,0,1.5,3.6,6.5,1.6,3.45,5.15,1.7,3.3,4,1.57,3.5,5,1.62,3.5,4.5,1.55,3.6,5
1843,1729,1729,2008/2009,2,23-Aug-08,489056,8655,8667,1,1,1.57,3.75,7,1.55,3.45,6,1.6,3.6,4.8,1.62,3.6,6,1.57,3.8,6,1.55,3.75,7
1840,1729,1729,2008/2009,2,23-Aug-08,489053,8586,8472,1,2,1.5,4,7,1.4,4,7.5,1.5,3.8,5.5,1.53,3.75,7,1.44,4.2,7.5,1.5,4.2,7
7908,7809,7809,2008/2009,2,23-Aug-08,499326,9790,8295,2,1,1.4,4.33,8.5,1.4,4.15,7,1.5,3.8,5.5,1.44,3.6,6.5,1.36,4,7,1.4,4,7
102,1,1,2008/2009,2,23-Aug-08,492484,9985,10001,3,0,1.33,4.2,10,1.35,4.25,7.5,1.35,4,7,1.33,4,8,1.36,4,7,1.35,4,8
1839,1729,1729,2008/2009,2,23-Aug-08,489052,8650,8549,2,1,1.36,4.5,10,1.35,4.5,7.2,1.4,4,6.5,1.4,4.2,9,1.36,4.5,9.5,1.4,4.6,8.5
4993,4769,4769,2008/2009,3,23-Aug-08,483153,9748,9855,2,0,1.29,4.75,13,1.25,4.8,10.5,1.3,4.4,8.5,1.29,4.33,9,1.25,4.5,10,1.28,4.5,9
19826,19694,19694,2008/2009,3,23-Aug-08,489993,9925,8596,3,0,1.2,6.5,13,1.17,6.25,10.5,1.17,5.5,11,1.2,5,11,1.2,5,11,1.18,6,10
17643,17642,17642,2008/2009,1,23-Aug-08,509130,9768,7992,3,1,1.25,5.5,15,1.2,5.5,12,1.2,5,10,1.2,5,11,1.2,5,11,1.2,5.5,11
1848,1729,1729,2008/2009,2,24-Aug-08,489061,8528,8455,0,1,8.5,4.5,1.4,8,4.25,1.35,6.5,4,1.4,8,4,1.44,8.5,4.33,1.4,8,4.8,1.4
17647,17642,17642,2008/2009,1,24-Aug-08,509134,7841,9772,1,1,6,3.5,1.62,5.75,3.8,1.5,4.6,3.4,1.6,5.5,3.4,1.53,5,3.5,1.57,4.5,3.4,1.65
103,1,1,2008/2009,2,24-Aug-08,492485,9998,9987,3,1,3.6,3.3,1.95,2.9,3.3,2.15,2.75,3.2,2.2,2.8,3.2,2.2,2.75,3.25,2.2,3,3.25,2.1
7914,7809,7809,2008/2009,2,24-Aug-08,499332,9911,8721,2,2,2.88,3.3,2.4,3,3.2,2.2,2.7,3.2,2.3,2.75,3.25,2.2,2.8,3.2,2.2,2.75,3.25,2.3
17649,17642,17642,2008/2009,1,24-Aug-08,509136,9809,10212,1,0,2.45,3.1,2.8,2.4,2.9,2.95,2.5,3,2.5,2.38,3,2.7,2.4,2.9,2.75,2.4,3.1,2.65
17648,17642,17642,2008/2009,1,24-Aug-08,509135,6421,10214,1,3,2.4,3,3,2.35,2.9,3,2.4,3,2.6,2.38,2.9,2.75,2.3,3,2.8,2.4,3.1,2.65
7913,7809,7809,2008/2009,2,24-Aug-08,499331,8722,9810,1,1,2.25,3.3,3.1,2.2,3.2,3,2.2,3.2,2.9,2.2,3.25,2.75,2.25,3.2,2.75,2.2,3.25,3
17646,17642,17642,2008/2009,1,24-Aug-08,509133,10213,10215,1,0,2.15,3.2,3.2,2.2,2.9,3.3,2.1,3,3.1,2.1,3,3.2,2.15,3,3.1,2.1,3.1,3.2
1842,1729,1729,2008/2009,2,24-Aug-08,489055,8456,8654,3,0,2.3,3.25,3.2,2.1,3.15,3.25,2.1,3.2,3.1,2.25,3.3,3.2,2.25,3.3,3.2,2.3,3.25,3.3
4989,4769,4769,2008/2009,3,24-Aug-08,483149,8583,9831,0,1,2.15,3,3.75,2.15,2.95,3.35,2.1,2.9,3.4,2.1,2.88,3.3,2.05,3,3.3,2,2.9,3.75
4996,4769,4769,2008/2009,3,24-Aug-08,483156,9851,8639,2,1,2.1,3,4,2,3,3.7,2,2.9,3.7,2.1,2.88,3.3,2.05,3,3.3,2.1,3,3.4
4990,4769,4769,2008/2009,3,24-Aug-08,483150,9827,9830,2,0,1.5,3.75,7.5,1.45,3.6,7.5,1.5,3.5,6.3,1.5,3.5,6,1.44,3.6,6.5,1.5,3.5,6.5
17642,17642,17642,2008/2009,1,24-Aug-08,509129,9773,9807,2,0,1.29,4.5,15,1.25,4.6,12,1.25,4.5,9,1.29,4.5,8,1.29,4.2,9,1.33,4,8.5
1846,1729,1729,2008/2009,2,25-Aug-08,489059,8462,10260,0,1,4.8,3.4,1.8,5,3.4,1.65,4.2,3.3,1.75,5,3.5,1.73,4.8,3.3,1.8,5,3.4,1.8
206,1,1,2008/2009,3,29-Aug-08,492498,4049,8342,1,4,7,3.75,1.53,5.35,3.75,1.52,5,3.7,1.5,6,3.75,1.44,5,3.5,1.57,5.5,4,1.5
13274,13274,13274,2008/2009,1,29-Aug-08,508287,8277,8674,0,4,2.2,3.3,3,2.15,3.3,2.9,2.3,3.2,2.5,2.25,3.25,2.7,2.3,3.4,2.5,2.2,3.3,2.8
8015,7809,7809,2008/2009,3,29-Aug-08,499343,8295,8722,0,2,2.1,3.3,3.5,2.1,3.2,3.2,2.2,3.1,3,1.91,3.25,3.4,1.95,3.25,3.3,2,3.25,3.3
17732,17642,17642,2008/2009,2,29-Aug-08,509139,9807,6403,2,2,1.73,3.5,5,1.7,3.2,5,1.7,3.2,4.2,1.67,3.25,4.5,1.75,3.2,4.2,1.75,3.3,4.35
13276,13274,13274,2008/2009,1,30-Aug-08,508304,8525,8593,2,1,5.5,3.6,1.57,5.75,3.75,1.5,5,3.7,1.5,5,3.5,1.57,5.5,3.6,1.5,5,3.6,1.55
13278,13274,13274,2008/2009,1,30-Aug-08,508306,9908,8640,1,5,4.33,3.25,1.8,3.6,3.4,1.85,3.6,3.3,1.8,3.6,3.3,1.83,3.6,3.3,1.83,3.75,3.5,1.8
8014,7809,7809,2008/2009,3,30-Aug-08,499342,9788,8697,3,2,4.33,3.5,1.83,3.9,3.3,1.85,3.6,3.2,1.9,3.75,3.3,1.8,4.2,3.25,1.73,4.35,3.4,1.7
10264,10257,10257,2008/2009,1,30-Aug-08,537639,9882,8636,1,1,4.33,3.2,1.91,4.5,3.15,1.8,4.2,3,1.85,4,2.88,1.91,3.75,3,1.91,4,3.1,1.85
8012,7809,7809,2008/2009,3,30-Aug-08,499340,9912,9790,2,4,3.8,3.3,2,3.45,3.25,2,3.2,3.1,2.1,3.4,3.25,1.91,3.5,3.2,1.91,3.6,3.3,1.9
8013,7809,7809,2008/2009,3,30-Aug-08,499341,8398,9789,0,1,3.5,3.3,2.1,3.7,3.3,1.9,3.2,3.1,2.1,3,3.2,2.1,3.1,3.2,2.05,3.3,3.25,2
19891,19694,19694,2008/2009,4,30-Aug-08,490004,8429,9860,1,2,3,3.4,2.3,2.9,3.25,2.2,2.8,3.1,2.2,2.75,3.25,2.2,3,3.2,2.1,2.65,3.25,2.3
19889,19694,19694,2008/2009,4,30-Aug-08,490002,9800,8485,0,1,2.9,3.3,2.38,2.6,3.25,2.4,2.7,3,2.3,2.5,3.25,2.4,2.62,3.1,2.38,2.8,3.25,2.25
203,1,1,2008/2009,3,30-Aug-08,492495,7947,9996,1,2,2.5,3.3,2.5,2.45,3.2,2.55,2.4,3.2,2.4,2.5,3.2,2.5,2.3,3.3,2.6,2.5,3.2,2.5
13275,13274,13274,2008/2009,1,30-Aug-08,508303,9803,8611,1,1,2.38,3.3,2.7,2.25,3.2,2.8,2.2,3.2,2.75,2.25,3.25,2.7,2.3,3.4,2.5,2.25,3.3,2.7
17730,17642,17642,2008/2009,2,30-Aug-08,509137,9772,9773,1,1,2.5,3.2,2.8,2.4,3.1,2.75,2.5,3.1,2.6,2.5,3.1,2.5,2.38,3,2.7,2.5,3.1,2.65
207,1,1,2008/2009,3,30-Aug-08,492499,10001,9993,1,0,2.25,3.3,2.8,2.4,3.2,2.6,2.3,3,2.7,2.2,3.2,2.8,2.15,3.2,2.9,2.2,3.2,3
1952,1729,1729,2008/2009,3,30-Aug-08,489065,8654,8655,4,1,2.5,3.25,2.88,2.3,3.15,2.9,2.3,3.1,2.8,2.1,3.2,3,2.4,3.3,2.9,2.55,3.3,2.8
1957,1729,1729,2008/2009,3,30-Aug-08,489070,8667,8528,0,5,2.5,3.25,2.88,2.25,3.15,2.95,2.4,3.1,2.7,2.25,3.2,2.75,2.5,3.2,2.88,2.55,3.2,2.9
5089,4769,4769,2008/2009,4,30-Aug-08,483159,7819,9847,0,1,2.5,3,3,2.9,2.85,2.45,2.65,2.9,2.65,2.6,2.9,2.5,2.5,2.9,2.62,2.5,2.9,2.75
5090,4769,4769,2008/2009,4,30-Aug-08,483160,9855,9829,1,0,2.38,3,3.25,2.65,2.9,2.65,2.55,2.9,2.75,2.5,2.9,2.6,2.5,2.9,2.62,2.35,2.9,2.9
204,1,1,2008/2009,3,30-Aug-08,492496,8203,10000,0,2,2,3.4,3.25,2.2,3.2,2.9,2.1,3,3.1,2.1,3.2,3,2.2,3.2,2.8,2,3.2,3.3
